arc_length,pressure
0.0,0.046364
0.001,0.046372
0.002,0.046381
0.003,0.046389
0.004,0.046397
0.005,0.046406
0.006,0.046414
0.007,0.046423
0.008,0.046431
0.009,0.046439
0.01,0.046448
0.011,0.046456
0.012,0.046465
0.013,0.046473
0.014,0.046481
0.015,0.04649
0.016,0.046498
0.017,0.046507
0.018,0.046515
0.019,0.046523
0.02,0.046532
0.021,0.04654
0.022,0.046549
0.023,0.046557
0.024,0.046578
0.025,0.046603
0.026,0.046628
0.027,0.046653
0.028,0.046678
0.029,0.046704
0.03,0.046729
0.031,0.046754
0.032,0.046779
0.033,0.046804
0.034,0.046829
0.035,0.046855
0.036,0.04688
0.037,0.046905
0.038,0.04693
0.039,0.046955
0.04,0.04698
0.041,0.047005
0.042,0.047031
0.043,0.047056
0.044,0.047081
0.045,0.047106
0.046,0.047131
0.047,0.047165
0.048,0.047206
0.049,0.047248
0.05,0.04729
0.051,0.047332
0.052,0.047374
0.053,0.047416
0.054,0.047457
0.055,0.047499
0.056,0.047541
0.057,0.047583
0.058,0.047625
0.059,0.047666
0.06,0.047708
0.061,0.04775
0.062,0.047792
0.063,0.047834
0.064,0.047876
0.065,0.047917
0.066,0.047959
0.067,0.048001
0.068,0.048043
0.069,0.048085
0.07,0.04813
0.071,0.048189
0.072,0.048247
0.073,0.048305
0.074,0.048363
0.075,0.048422
0.076,0.04848
0.077,0.048538
0.078,0.048596
0.079,0.048655
0.08,0.048713
0.081,0.048771
0.082,0.048829
0.083,0.048888
0.084,0.048946
0.085,0.049004
0.086,0.049062
0.087,0.049121
0.088,0.049179
0.089,0.049237
0.09,0.049295
0.091,0.049354
0.092,0.049412
0.093,0.04947
0.094,0.049544
0.095,0.049618
0.096,0.049692
0.097,0.049766
0.098,0.04984
0.099,0.049914
0.1,0.049988
0.101,0.050062
0.102,0.050136
0.103,0.05021
0.104,0.050284
0.105,0.050358
0.106,0.050432
0.107,0.050506
0.108,0.05058
0.109,0.050654
0.11,0.050728
0.111,0.050802
0.112,0.050876
0.113,0.050951
0.114,0.051025
0.115,0.051099
0.116,0.051173
0.117,0.051258
0.118,0.051347
0.119,0.051436
0.12,0.051525
0.121,0.051614
0.122,0.051703
0.123,0.051792
0.124,0.051881
0.125,0.051971
0.126,0.05206
0.127,0.052149
0.128,0.052238
0.129,0.052327
0.13,0.052416
0.131,0.052505
0.132,0.052595
0.133,0.052684
0.134,0.052773
0.135,0.052862
0.136,0.052951
0.137,0.05304
0.138,0.053129
0.139,0.053218
0.14,0.053315
0.141,0.053419
0.142,0.053524
0.143,0.053628
0.144,0.053732
0.145,0.053837
0.146,0.053941
0.147,0.054046
0.148,0.05415
0.149,0.054254
0.15,0.054359
0.151,0.054463
0.152,0.054568
0.153,0.054672
0.154,0.054777
0.155,0.054881
0.156,0.054985
0.157,0.05509
0.158,0.055194
0.159,0.055299
0.16,0.055403
0.161,0.055507
0.162,0.055612
0.163,0.055712
0.164,0.055794
0.165,0.055877
0.166,0.05596
0.167,0.056042
0.168,0.056125
0.169,0.056207
0.17,0.05629
0.171,0.056373
0.172,0.056455
0.173,0.056538
0.174,0.056621
0.175,0.056703
0.176,0.056786
0.177,0.056869
0.178,0.056951
0.179,0.057034
0.18,0.057116
0.181,0.057199
0.182,0.057282
0.183,0.057364
0.184,0.057447
0.185,0.05753
0.186,0.057612
0.187,0.05761
0.188,0.057603
0.189,0.057597
0.19,0.05759
0.191,0.057583
0.192,0.057577
0.193,0.05757
0.194,0.057564
0.195,0.057557
0.196,0.05755
0.197,0.057544
0.198,0.057537
0.199,0.057531
0.2,0.057524
0.201,0.057517
0.202,0.057511
0.203,0.057504
0.204,0.057498
0.205,0.057491
0.206,0.057484
0.207,0.057478
0.208,0.057471
0.209,0.057465
0.21,0.057422
0.211,0.057364
0.212,0.057307
0.213,0.057249
0.214,0.057191
0.215,0.057133
0.216,0.057075
0.217,0.057017
0.218,0.056959
0.219,0.056902
0.22,0.056844
0.221,0.056786
0.222,0.056728
0.223,0.05667
0.224,0.056612
0.225,0.056554
0.226,0.056497
0.227,0.056439
0.228,0.056381
0.229,0.056323
0.23,0.056265
0.231,0.056207
0.232,0.056149
0.233,0.05606
0.234,0.05593
0.235,0.0558
0.236,0.05567
0.237,0.05554
0.238,0.055411
0.239,0.055281
0.24,0.055151
0.241,0.055021
0.242,0.054891
0.243,0.054761
0.244,0.054632
0.245,0.054502
0.246,0.054372
0.247,0.054242
0.248,0.054112
0.249,0.053982
0.25,0.053853
0.251,0.053723
0.252,0.053593
0.253,0.053463
0.254,0.053333
0.255,0.053203
0.256,0.053077
0.257,0.052966
0.258,0.052855
0.259,0.052743
0.26,0.052632
0.261,0.052521
0.262,0.05241
0.263,0.052299
0.264,0.052188
0.265,0.052076
0.266,0.051965
0.267,0.051854
0.268,0.051743
0.269,0.051632
0.27,0.051521
0.271,0.051409
0.272,0.051298
0.273,0.051187
0.274,0.051076
0.275,0.050965
0.276,0.050854
0.277,0.050743
0.278,0.050631
0.279,0.05052
0.28,0.050423
0.281,0.050326
0.282,0.05023
0.283,0.050133
0.284,0.050037
0.285,0.04994
0.286,0.049844
0.287,0.049748
0.288,0.049651
0.289,0.049555
0.29,0.049458
0.291,0.049362
0.292,0.049265
0.293,0.049169
0.294,0.049072
0.295,0.048976
0.296,0.04888
0.297,0.048783
0.298,0.048687
0.299,0.04859
0.3,0.048494
0.301,0.048397
0.302,0.048301
0.303,0.048214
0.304,0.048131
0.305,0.048048
0.306,0.047965
0.307,0.047883
0.308,0.0478
0.309,0.047717
0.31,0.047634
0.311,0.047552
0.312,0.047469
0.313,0.047386
0.314,0.047303
0.315,0.047221
0.316,0.047138
0.317,0.047055
0.318,0.046972
0.319,0.04689
0.32,0.046807
0.321,0.046724
0.322,0.046641
0.323,0.046559
0.324,0.046476
0.325,0.046393
0.326,0.046316
0.327,0.046246
0.328,0.046177
0.329,0.046107
0.33,0.046037
0.331,0.045968
0.332,0.045898
0.333,0.045828
0.334,0.045759
0.335,0.045689
0.336,0.04562
0.337,0.04555
0.338,0.04548
0.339,0.045411
0.34,0.045341
0.341,0.045271
0.342,0.045202
0.343,0.045132
0.344,0.045063
0.345,0.044993
0.346,0.044923
0.347,0.044854
0.348,0.044784
0.349,0.044716
0.35,0.044659
0.351,0.044602
0.352,0.044544
0.353,0.044487
0.354,0.04443
0.355,0.044372
0.356,0.044315
0.357,0.044258
0.358,0.0442
0.359,0.044143
0.36,0.044086
0.361,0.044028
0.362,0.043971
0.363,0.043914
0.364,0.043856
0.365,0.043799
0.366,0.043742
0.367,0.043684
0.368,0.043627
0.369,0.043569
0.37,0.043512
0.371,0.043455
0.372,0.043397
0.373,0.04335
0.374,0.043304
0.375,0.043258
0.376,0.043213
0.377,0.043167
0.378,0.043121
0.379,0.043075
0.38,0.043029
0.381,0.042983
0.382,0.042937
0.383,0.042891
0.384,0.042845
0.385,0.042799
0.386,0.042753
0.387,0.042707
0.388,0.042661
0.389,0.042615
0.39,0.042569
0.391,0.042523
0.392,0.042477
0.393,0.042431
0.394,0.042385
0.395,0.042339
0.396,0.0423
0.397,0.042265
0.398,0.042229
0.399,0.042194
0.4,0.042158
0.401,0.042123
0.402,0.042087
0.403,0.042052
0.404,0.042016
0.405,0.041981
0.406,0.041945
0.407,0.04191
0.408,0.041875
0.409,0.041839
0.41,0.041804
0.411,0.041768
0.412,0.041733
0.413,0.041697
0.414,0.041662
0.415,0.041626
0.416,0.041591
0.417,0.041555
0.418,0.04152
0.419,0.041488
0.42,0.041463
0.421,0.041437
0.422,0.041411
0.423,0.041385
0.424,0.04136
0.425,0.041334
0.426,0.041308
0.427,0.041283
0.428,0.041257
0.429,0.041231
0.43,0.041205
0.431,0.04118
0.432,0.041154
0.433,0.041128
0.434,0.041102
0.435,0.041077
0.436,0.041051
0.437,0.041025
0.438,0.040999
0.439,0.040974
0.44,0.040948
0.441,0.040922
0.442,0.040898
0.443,0.040881
0.444,0.040865
0.445,0.040848
0.446,0.040831
0.447,0.040815
0.448,0.040798
0.449,0.040782
0.45,0.040765
0.451,0.040748
0.452,0.040732
0.453,0.040715
0.454,0.040698
0.455,0.040682
0.456,0.040665
0.457,0.040649
0.458,0.040632
0.459,0.040615
0.46,0.040599
0.461,0.040582
0.462,0.040565
0.463,0.040549
0.464,0.040532
0.465,0.040516
0.466,0.040507
0.467,0.040499
0.468,0.040491
0.469,0.040483
0.47,0.040475
0.471,0.040467
0.472,0.040459
0.473,0.040451
0.474,0.040443
0.475,0.040435
0.476,0.040428
0.477,0.04042
0.478,0.040412
0.479,0.040404
0.48,0.040396
0.481,0.040388
0.482,0.04038
0.483,0.040372
0.484,0.040364
0.485,0.040356
0.486,0.040348
0.487,0.04034
0.488,0.040332
0.489,0.04033
0.49,0.04033
0.491,0.040331
0.492,0.040332
0.493,0.040332
0.494,0.040333
0.495,0.040333
0.496,0.040334
0.497,0.040335
0.498,0.040335
0.499,0.040336
0.5,0.040336
0.501,0.040337
0.502,0.040338
0.503,0.040338
0.504,0.040339
0.505,0.040339
0.506,0.04034
0.507,0.04034
0.508,0.040341
0.509,0.040342
0.51,0.040342
0.511,0.040343
0.512,0.040347
0.513,0.040356
0.514,0.040365
0.515,0.040374
0.516,0.040383
0.517,0.040392
0.518,0.040401
0.519,0.040411
0.52,0.04042
0.521,0.040429
0.522,0.040438
0.523,0.040447
0.524,0.040456
0.525,0.040465
0.526,0.040475
0.527,0.040484
0.528,0.040493
0.529,0.040502
0.53,0.040511
0.531,0.04052
0.532,0.040529
0.533,0.040538
0.534,0.040548
0.535,0.040558
0.536,0.040576
0.537,0.040594
0.538,0.040612
0.539,0.04063
0.54,0.040648
0.541,0.040666
0.542,0.040684
0.543,0.040702
0.544,0.04072
0.545,0.040737
0.546,0.040755
0.547,0.040773
0.548,0.040791
0.549,0.040809
0.55,0.040827
0.551,0.040845
0.552,0.040863
0.553,0.040881
0.554,0.040899
0.555,0.040917
0.556,0.040935
0.557,0.040953
0.558,0.040971
0.559,0.040997
0.56,0.041024
0.561,0.041052
0.562,0.041079
0.563,0.041106
0.564,0.041134
0.565,0.041161
0.566,0.041188
0.567,0.041216
0.568,0.041243
0.569,0.04127
0.57,0.041297
0.571,0.041325
0.572,0.041352
0.573,0.041379
0.574,0.041407
0.575,0.041434
0.576,0.041461
0.577,0.041489
0.578,0.041516
0.579,0.041543
0.58,0.04157
0.581,0.041598
0.582,0.041631
0.583,0.041668
0.584,0.041706
0.585,0.041743
0.586,0.041781
0.587,0.041818
0.588,0.041855
0.589,0.041893
0.59,0.04193
0.591,0.041967
0.592,0.042005
0.593,0.042042
0.594,0.042079
0.595,0.042117
0.596,0.042154
0.597,0.042191
0.598,0.042229
0.599,0.042266
0.6,0.042303
0.601,0.042341
0.602,0.042378
0.603,0.042415
0.604,0.042453
0.605,0.042494
0.606,0.042542
0.607,0.042591
0.608,0.042639
0.609,0.042687
0.61,0.042735
0.611,0.042784
0.612,0.042832
0.613,0.04288
0.614,0.042929
0.615,0.042977
0.616,0.043025
0.617,0.043073
0.618,0.043122
0.619,0.04317
0.62,0.043218
0.621,0.043267
0.622,0.043315
0.623,0.043363
0.624,0.043411
0.625,0.04346
0.626,0.043508
0.627,0.043556
0.628,0.043606
0.629,0.043666
0.63,0.043726
0.631,0.043787
0.632,0.043847
0.633,0.043907
0.634,0.043967
0.635,0.044028
0.636,0.044088
0.637,0.044148
0.638,0.044209
0.639,0.044269
0.64,0.044329
0.641,0.044389
0.642,0.04445
0.643,0.04451
0.644,0.04457
0.645,0.04463
0.646,0.044691
0.647,0.044751
0.648,0.044811
0.649,0.044872
0.65,0.044932
0.651,0.044992
0.652,0.045063
0.653,0.045137
0.654,0.04521
0.655,0.045284
0.656,0.045357
0.657,0.04543
0.658,0.045504
0.659,0.045577
0.66,0.045651
0.661,0.045724
0.662,0.045798
0.663,0.045871
0.664,0.045944
0.665,0.046018
0.666,0.046091
0.667,0.046165
0.668,0.046238
0.669,0.046312
0.67,0.046385
0.671,0.046458
0.672,0.046532
0.673,0.046605
0.674,0.046679
0.675,0.04676
0.676,0.046848
0.677,0.046936
0.678,0.047023
0.679,0.047111
0.68,0.047199
0.681,0.047286
0.682,0.047374
0.683,0.047462
0.684,0.047549
0.685,0.047637
0.686,0.047725
0.687,0.047812
0.688,0.0479
0.689,0.047988
0.69,0.048075
0.691,0.048163
0.692,0.048251
0.693,0.048338
0.694,0.048426
0.695,0.048514
0.696,0.048601
0.697,0.048689
0.698,0.048781
0.699,0.048884
0.7,0.048986
0.701,0.049088
0.702,0.049191
0.703,0.049293
0.704,0.049395
0.705,0.049497
0.706,0.0496
0.707,0.049702
0.708,0.049804
0.709,0.049907
0.71,0.050009
0.711,0.050111
0.712,0.050213
0.713,0.050316
0.714,0.050418
0.715,0.05052
0.716,0.050623
0.717,0.050725
0.718,0.050827
0.719,0.05093
0.72,0.051032
0.721,0.051135
0.722,0.051247
0.723,0.051358
0.724,0.05147
0.725,0.051582
0.726,0.051694
0.727,0.051806
0.728,0.051917
0.729,0.052029
0.73,0.052141
0.731,0.052253
0.732,0.052365
0.733,0.052476
0.734,0.052588
0.735,0.0527
0.736,0.052812
0.737,0.052924
0.738,0.053036
0.739,0.053147
0.74,0.053259
0.741,0.053371
0.742,0.053483
0.743,0.053595
0.744,0.053706
0.745,0.0538
0.746,0.053889
0.747,0.053978
0.748,0.054067
0.749,0.054156
0.75,0.054245
0.751,0.054334
0.752,0.054423
0.753,0.054512
0.754,0.054601
0.755,0.05469
0.756,0.054779
0.757,0.054868
0.758,0.054957
0.759,0.055046
0.76,0.055135
0.761,0.055224
0.762,0.055313
0.763,0.055402
0.764,0.055491
0.765,0.05558
0.766,0.055669
0.767,0.055758
0.768,0.055823
0.769,0.055868
0.77,0.055913
0.771,0.055958
0.772,0.056002
0.773,0.056047
0.774,0.056092
0.775,0.056137
0.776,0.056182
0.777,0.056227
0.778,0.056272
0.779,0.056317
0.78,0.056362
0.781,0.056407
0.782,0.056452
0.783,0.056497
0.784,0.056542
0.785,0.056587
0.786,0.056632
0.787,0.056677
0.788,0.056721
0.789,0.056766
0.79,0.056811
0.791,0.056841
0.792,0.056836
0.793,0.056831
0.794,0.056826
0.795,0.056821
0.796,0.056816
0.797,0.056811
0.798,0.056806
0.799,0.056801
0.8,0.056795
0.801,0.05679
0.802,0.056785
0.803,0.05678
0.804,0.056775
0.805,0.05677
0.806,0.056765
0.807,0.05676
0.808,0.056755
0.809,0.05675
0.81,0.056745
0.811,0.05674
0.812,0.056735
0.813,0.05673
0.814,0.056723
0.815,0.056678
0.816,0.056633
0.817,0.056588
0.818,0.056543
0.819,0.056498
0.82,0.056453
0.821,0.056408
0.822,0.056363
0.823,0.056318
0.824,0.056273
0.825,0.056228
0.826,0.056183
0.827,0.056138
0.828,0.056093
0.829,0.056048
0.83,0.056003
0.831,0.055958
0.832,0.055913
0.833,0.055868
0.834,0.055823
0.835,0.055778
0.836,0.055733
0.837,0.055688
0.838,0.055624
0.839,0.055556
0.84,0.055487
0.841,0.055419
0.842,0.05535
0.843,0.055281
0.844,0.055213
0.845,0.055144
0.846,0.055076
0.847,0.055007
0.848,0.054938
0.849,0.05487
0.85,0.054801
0.851,0.054733
0.852,0.054664
0.853,0.054596
0.854,0.054527
0.855,0.054458
0.856,0.05439
0.857,0.054321
0.858,0.054253
0.859,0.054184
0.86,0.054116
0.861,0.054036
0.862,0.053946
0.863,0.053857
0.864,0.053768
0.865,0.053678
0.866,0.053589
0.867,0.053499
0.868,0.05341
0.869,0.05332
0.87,0.053231
0.871,0.053142
0.872,0.053052
0.873,0.052963
0.874,0.052873
0.875,0.052784
0.876,0.052694
0.877,0.052605
0.878,0.052516
0.879,0.052426
0.88,0.052337
0.881,0.052247
0.882,0.052158
0.883,0.052068
0.884,0.051982
0.885,0.051903
0.886,0.051825
0.887,0.051746
0.888,0.051667
0.889,0.051589
0.89,0.05151
0.891,0.051431
0.892,0.051352
0.893,0.051274
0.894,0.051195
0.895,0.051116
0.896,0.051038
0.897,0.050959
0.898,0.05088
0.899,0.050802
0.9,0.050723
0.901,0.050644
0.902,0.050566
0.903,0.050487
0.904,0.050408
0.905,0.05033
0.906,0.050251
0.907,0.050173
0.908,0.050111
0.909,0.050049
0.91,0.049987
0.911,0.049925
0.912,0.049864
0.913,0.049802
0.914,0.04974
0.915,0.049678
0.916,0.049616
0.917,0.049555
0.918,0.049493
0.919,0.049431
0.92,0.049369
0.921,0.049308
0.922,0.049246
0.923,0.049184
0.924,0.049122
0.925,0.04906
0.926,0.048999
0.927,0.048937
0.928,0.048875
0.929,0.048813
0.93,0.048751
0.931,0.048703
0.932,0.048659
0.933,0.048615
0.934,0.048571
0.935,0.048527
0.936,0.048483
0.937,0.048439
0.938,0.048395
0.939,0.04835
0.94,0.048306
0.941,0.048262
0.942,0.048218
0.943,0.048174
0.944,0.04813
0.945,0.048086
0.946,0.048042
0.947,0.047998
0.948,0.047954
0.949,0.04791
0.95,0.047865
0.951,0.047821
0.952,0.047777
0.953,0.047733
0.954,0.047698
0.955,0.047672
0.956,0.047645
0.957,0.047619
0.958,0.047593
0.959,0.047566
0.96,0.04754
0.961,0.047513
0.962,0.047487
0.963,0.047461
0.964,0.047434
0.965,0.047408
0.966,0.047381
0.967,0.047355
0.968,0.047329
0.969,0.047302
0.97,0.047276
0.971,0.047249
0.972,0.047223
0.973,0.047197
0.974,0.04717
0.975,0.047144
0.976,0.047117
0.977,0.047096
0.978,0.047087
0.979,0.047078
0.98,0.047069
0.981,0.04706
0.982,0.047052
0.983,0.047043
0.984,0.047034
0.985,0.047025
0.986,0.047016
0.987,0.047008
0.988,0.046999
0.989,0.04699
0.99,0.046981
0.991,0.046972
0.992,0.046964
0.993,0.046955
0.994,0.046946
0.995,0.046937
0.996,0.046929
0.997,0.04692
0.998,0.046911
0.999,0.046902
1.0,0.046893
